url,name,img,name_short,email,city,party,type_nominal,type,circunscription,comission,comity,official_charge,name,comision_charge
"https://diputados.gob.bo/diputados/adan-palacios-puma","Adán Palacios Puma","https://diputados.gob.bo/wp-content/uploads/2022/01/07-Adan-Palacios-Puma-CHUQUISACA-1-e1724948492330.jpg","Adán Palacios Puma","adan.palacios@diputados.bo","Chuquisaca","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-5","Comisión de Planificación, Política Económica y Finanzas","Comité de Planificación e Inversión Pública","","adan-palacios-puma","Vocal"
"https://diputados.gob.bo/diputados/adriana-tarifa-condori","Adriana Tarifa Condori","https://diputados.gob.bo/wp-content/uploads/2022/01/97-Adriana-Tarifa-Condori-POTOSI-2-e1724966626796.jpg","Adriana Tarifa Condori","adriana.tarifa@diputados.bo","Potosí","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-36","Comisión de Organización Territorial del Estado y Autonomías","Comité de Autonomías Municipales y Regionales","","adriana-tarifa-condori","Secretaria"
"https://diputados.gob.bo/diputados/alba-moira-osinaga-rivero","Alba Moira Osinaga Rivero","https://diputados.gob.bo/wp-content/uploads/2022/01/78-Alba-Moira-Osinaga-Rivero-SANTA-CRUZ-2-e1724965456691.jpg","Alba Moira Osinaga Rivero","alba.osinaga@diputados.bo","Santa Cruz","CREEMOS","Uninominal","Titular","C-46","Comisión de Economía Plural, Producción e Industria","Comité de Agricultura y Ganadería","","alba-moira-osinaga-rivero","Vocal"
"https://diputados.gob.bo/diputados/alberto-vladimir-astorga-torrez","Alberto Vladimir Astorga Torrez","https://diputados.gob.bo/wp-content/uploads/2022/01/15-Alberto-Vladimir-Astorga-Torrez-LA-PAZ-2-e1724956870911.jpg","Alberto Vladimir Astorga Torrez","alberto.astorga@diputados.bo","La Paz","CC (Comunidad Ciudadana)","Uninominal","Titular","C-6","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","","","alberto-vladimir-astorga-torrez","Presidente"
"https://diputados.gob.bo/diputados/aldo-raul-terrazas-rivero","Aldo Raúl Terrazas Rivero","https://diputados.gob.bo/wp-content/uploads/2022/01/86-Aldo-Raul-Terrazas-Rivero-SANTA-CRUZ-2-e1724966009906.jpg","Aldo Raúl Terrazas Rivero","aldo.terrazas@diputados.bo","Santa Cruz","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Organización Territorial del Estado y Autonomías","","","aldo-raul-terrazas-rivero","Presidente"
"https://diputados.gob.bo/diputados/aleida-joseff-tellez","Aleida Joseff Téllez","https://diputados.gob.bo/wp-content/uploads/2022/01/122-Aleida-Joseff-Tellez-BENI-2-e1724968226257.jpg","Aleida Joseff Téllez","aleida.joseff@diputados.bo","Beni","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-59","Comisión de Constitución, Legislación y Sistema Electoral","Comité de Control Constitucional y Armonización Legislativa","","aleida-joseff-tellez","Vocal"
"https://diputados.gob.bo/diputados/alejandra-camargo-tanabe","Alejandra Camargo Tanabe","https://diputados.gob.bo/wp-content/uploads/2022/01/43-Alejandra-Camargo-Tanabe-COCHABAMBA-2-e1724963551164.jpg","Alejandra Camargo Tanabe","alejandra.camargo@diputados.bo","Cochabamba","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","Comité de Cultura, Interculturalidad y Patrimonio Cultural","","alejandra-camargo-tanabe","Vocal"
"https://diputados.gob.bo/diputados/alexsandra-zenteno-cardozo","Alexsandra Zenteno Cardozo","https://diputados.gob.bo/wp-content/uploads/2022/01/117-Alexsandra-Zenteno-Cardozo-TARIJA-2-e1724967925195.jpg","Alexsandra Zenteno Cardozo","alexsandra.zenteno@diputados.bo","Tarija","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","","Comité de Derechos Humanos e Igualdad de Oportunidades","","alexsandra-zenteno-cardozo","Vocal"
"https://diputados.gob.bo/diputados/alina-canaviri-sullcani","Alina Canaviri Sullcani","https://diputados.gob.bo/wp-content/uploads/2022/01/64-Alina-Canaviri-Sullcani-SANTA-CRUZ-2-e1724964686122.jpg","Alina Canaviri Sullcani","alina.canaviri@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Economía Plural, Producción e Industria","Comité de Economía Comunitaria y Social Cooperativa","","alina-canaviri-sullcani","Vocal"
"https://diputados.gob.bo/diputados/andres-flores-condori","Andrés Flores Condori","https://diputados.gob.bo/wp-content/uploads/2022/01/23-Andres-Flores-Condori-LA-PAZ-2-e1724959459572.jpg","Andrés Flores Condori","andres.flores@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-16","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","Comité de Hoja de Coca","","andres-flores-condori","Secretario"
"https://diputados.gob.bo/diputados/antonio-colque-gabriel","Antonio Colque Gabriel","https://diputados.gob.bo/wp-content/uploads/2022/01/88-Gabriel-Antonio-Colque-POTOSI-2-e1724966142631.jpg","Antonio Colque Gabriel","gabriel.colque@diputados.bo","Potosí","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","","Comité de Defensa, FF.AA., Frontera y Defensa Civil","","antonio-colque-gabriel","Vocal"
"https://diputados.gob.bo/diputados/anyelo-gerardo-cespedes-miranda","Anyelo Gerardo Céspedes Miranda","https://diputados.gob.bo/wp-content/uploads/2022/01/65-Anyelo-Gerardo-Cespedes-Miranda-SANTA-CRUZ-2-e1724964747235.jpg","Anyelo Gerardo Céspedes Miranda","anyelo.cespedes@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Planificación, Política Económica y Finanzas","Comité de Ciencia y Tecnología","","anyelo-gerardo-cespedes-miranda","Vocal"
"https://diputados.gob.bo/diputados/basilia-rojas-mamani","Basilia Rojas Mamani","https://diputados.gob.bo/wp-content/uploads/2022/01/34-Basilia-Rojas-Mamani-LA-PAZ-2-e1724961854307.jpg","Basilia Rojas Mamani","basilia.rojas@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-18","Comisión de Constitución, Legislación y Sistema Electoral","Comité de Democracia y Sistema Electoral","","basilia-rojas-mamani","Secretaria"
"https://diputados.gob.bo/diputados/bertha-beatriz-acarapi","Bertha Beatriz Acarapi","https://diputados.gob.bo/wp-content/uploads/2022/01/11-Bertha-Beatriz-Acarapi-LA-PAZ-2-e1724949142271.jpg","Bertha Beatriz Acarapi","bertha.acarapi@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Organización Territorial del Estado y Autonomías","Comité de Autonomías Municipales y Regionales","","bertha-beatriz-acarapi","Vocal"
"https://diputados.gob.bo/diputados/betty-beatriz-yaniquez-lozano","Betty Beatriz Yañiquez Lozano","https://diputados.gob.bo/wp-content/uploads/2022/01/38-Betty-Beatriz-Yaniquez-LozanoLA-PAZ-e1724962175509.jpg","Betty Beatriz Yañiquez Lozano","betty.yaniquez@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Derechos Humanos","Comité de Derechos Humanos e Igualdad de Oportunidades","","betty-beatriz-yaniquez-lozano","Secretaria"
"https://diputados.gob.bo/diputados/blanca-magaly-lopez-sandoval","Blanca Magaly López Sandoval","https://diputados.gob.bo/wp-content/uploads/2022/01/06-Blanca-Magaly-Lopez-Sandoval-CHUQUISACA-e1724947756907.jpg","Blanca Magaly López Sandoval","blanca.lopez@diputados.bo","Chuquisaca","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Economía Plural, Producción e Industria","Comité de Energía e Hidrocarburos","","blanca-magaly-lopez-sandoval","Secretaria"
"https://diputados.gob.bo/diputados/carlos-silvestre-alarcon-mondonio","Carlos Silvestre Alarcón Mondonio","https://diputados.gob.bo/wp-content/uploads/2022/01/13-Carlos-Silvestre-Alarcon-Mondonio-LA-PAZ-2-e1724956744366.jpg","Carlos Silvestre Alarcón Mondonio","carlos.alarcon@diputados.bo","La Paz","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Política Internacional y Protección al Migrante","Comité de Política Internacional, Protección al Migrante y Organismos Internacionales","","carlos-silvestre-alarcon-mondonio","Vocal"
"https://diputados.gob.bo/diputados/celia-nancy-rivera-mamani","Celia Nancy Rivera Mamani","https://diputados.gob.bo/wp-content/uploads/2022/01/96-Celia-Nancy-Rivera-Mamani-POTOSI-2-e1724966571512.jpg","Celia Nancy Rivera Mamani","celia.rivera@diputados.bo","Potosí","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Economía Plural, Producción e Industria","Comité de Minería y Metalurgia","","celia-nancy-rivera-mamani","Vocal"
"https://diputados.gob.bo/diputados/celia-salazar-quispe","Celia Salazar Quispe","https://diputados.gob.bo/wp-content/uploads/2022/01/106-Celia-Salazar-Quispe-ORURO-2-e1724967195420.jpg","Celia Salazar Quispe","celia.salazar@diputados.bo","Oruro","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-31","Comisión de Economía Plural, Producción e Industria","Comité de Minería y Metalurgia","","celia-salazar-quispe","Secretaria"
"https://diputados.gob.bo/diputados/daniel-prieto-tomelitch","Daniel Prieto Tomelitch","https://diputados.gob.bo/wp-content/uploads/2022/01/81-Daniel-Prieto-Tomelitch-SANTA-CRUZ-2-e1724965742261.jpg","Daniel Prieto Tomelitch","daniel.prieto@diputados.bo","Santa Cruz","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Gobierno, Defensa y Fuerzas Armadas","Comité de Seguridad Ciudadana","","daniel-prieto-tomelitch","Vocal"
"https://diputados.gob.bo/diputados/danny-daniel-rojas-montes-de-oca","Danny Daniel Rojas Montes De Oca","https://diputados.gob.bo/wp-content/uploads/2022/01/83-Danny-Daniel-Rojas-Montes-de-Oca-SANTA-CRUZ-2-e1724965850747.jpg","Danny Daniel Rojas Montes De Oca","danny.rojas@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-57","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","Comité de Cultura, Interculturalidad y Patrimonio Cultural","","danny-daniel-rojas-montes-de-oca","Vocal"
"https://diputados.gob.bo/diputados/darlen-isabel-velasco-torrez","Darlen Isabel Velasco Torrez","https://diputados.gob.bo/wp-content/uploads/2022/01/116-Darlen-Isabel-Velasco-Torrez-TARIJA-2-e1724967846945.jpg","Darlen Isabel Velasco Torrez","darlen.velasco@diputados.bo","Tarija","MAS IPSP (Movimiento Al Socialismo)","Especial","Titular","","Comisión de Economía Plural, Producción e Industria","Comité de Energía e Hidrocarburos","","darlen-isabel-velasco-torrez","Vocal"
"https://diputados.gob.bo/diputados/deisy-judith-choque-arnez","Deisy Judith Choque Arnez","https://diputados.gob.bo/wp-content/uploads/2022/01/66-Deisy-Judith-Choque-Arnez-SANTA-CRUZ-2-e1724964803934.jpg","Deisy Judith Choque Arnez","deisy.choque@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-52","Comisión de Planificación, Política Económica y Finanzas","Comité de Planificación e Inversión Pública","","deisy-judith-choque-arnez","Secretaria"
"https://diputados.gob.bo/diputados/delfor-german-burgos-aguirre","Delfor Germán Burgos Aguirre","https://diputados.gob.bo/wp-content/uploads/2022/01/110-Delfor-German-Burgos-Aguirre-TARIJA-2-e1724967419107.jpg","Delfor Germán Burgos Aguirre","delfor.burgos@diputados.bo","Tarija","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-42","Comisión de Planificación, Política Económica y Finanzas","Comité de Política Financiera, Monetaria y de Seguros","","delfor-german-burgos-aguirre","Vocal"
"https://diputados.gob.bo/diputados/dora-lizeth-morales-rios","Dora Lizeth Morales Ríos","https://diputados.gob.bo/wp-content/uploads/2022/01/55-Dora-Lizeth-Morales-Rios-COCHABAMBA-2-e1724964266810.jpg","Dora Lizeth Morales Ríos","dora.morales@diputados.bo","Cochabamba","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-23","Comisión de Región Amazónica, Tierra, Territorio, Agua, Recursos Naturales y Medio Ambiente","Comité de Recursos Naturales, Hídricos y Agua","","dora-lizeth-morales-rios","Vocal"
"https://diputados.gob.bo/diputados/edwin-rosas-urzagaste","Edwin Rosas Urzagaste","https://diputados.gob.bo/wp-content/uploads/2022/01/114-Edwin-Rosas-Urzagaste-TARIJA-2-e1724967732752.jpg","Edwin Rosas Urzagaste","edwin.rosas@diputados.bo","Tarija","CC (Comunidad Ciudadana)","Uninominal","Titular","C-40","Comisión de Región Amazónica, Tierra, Territorio, Agua, Recursos Naturales y Medio Ambiente","Comité de Recursos Naturales, Hídricos y Agua","","edwin-rosas-urzagaste","Secretario"
"https://diputados.gob.bo/diputados/elsa-ali-ramos","Elsa Alí Ramos","https://diputados.gob.bo/wp-content/uploads/2022/01/87-Elsa-Ali-Ramos-POTOSI-1-e1724966071795.jpg","Elsa Alí Ramos","elsa.ali@diputados.bo","Potosí","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","Comité de Cultura, Interculturalidad y Patrimonio Cultural","","elsa-ali-ramos","Secretaria"
"https://diputados.gob.bo/diputados/elsa-sanchez-romero","Elsa Sánchez Romero","https://diputados.gob.bo/wp-content/uploads/2022/01/85-Elsa-Sanchez-Romero-SANTA-CRUZ-2-e1724965952945.jpg","Elsa Sánchez Romero","elsa.sanchez@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Especial","Titular","","Comisión de Región Amazónica, Tierra, Territorio, Agua, Recursos Naturales y Medio Ambiente","Comité de Región Amazónica, Tierra y Territorio","","elsa-sanchez-romero","Secretaria"
"https://diputados.gob.bo/diputados/enrique-cunai-cayuba","Enrique Cunai Cayuba","https://diputados.gob.bo/wp-content/uploads/2022/01/121-Enrique-Cunai-Cayuba-BENI-1-e1724968165647.jpg","Enrique Cunai Cayuba","enrique.cunai@diputados.bo","Beni","MAS IPSP (Movimiento Al Socialismo)","Especial","Titular","","Comisión de Región Amazónica, Tierra, Territorio, Agua, Recursos Naturales y Medio Ambiente","","","enrique-cunai-cayuba","Presidencia"
"https://diputados.gob.bo/diputados/enrique-fernando-urquidi-daza","Enrique Fernando Urquidi Daza","https://diputados.gob.bo/wp-content/uploads/2022/01/107-Enrique-Fernando-Urquidi-Daza-ORURO-2-e1724967252265.jpg","Enrique Fernando Urquidi Daza","enrique.urquidi@diputados.bo","Oruro","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Gobierno, Defensa y Fuerzas Armadas","Comité de Lucha Contra el Narcotráfico","","enrique-fernando-urquidi-daza","Vocal"
"https://diputados.gob.bo/diputados/erick-marcelo-pedrazas-lopez","Erick Marcelo Pedrazas López","https://diputados.gob.bo/wp-content/uploads/2022/01/08-Erick-Marcelo-Pedrazas-Lopez-CHUQUISACA-1-e1724948946644.jpg","Erick Marcelo Pedrazas López","erick.pedrazas@diputados.bo","Chuquisaca","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Política Social","Comité de Trabajo y Régimen Laboral","","erick-marcelo-pedrazas-lopez","Vocal"
"https://diputados.gob.bo/diputados/erwin-bazan-gutierrez","Erwin Bazán Gutiérrez","https://diputados.gob.bo/wp-content/uploads/2022/01/61-Erwin-Bazan-Gutierrez-SANTA-CRUZ-2-e1724964540783.jpg","Erwin Bazán Gutiérrez","erwin.bazan@diputados.bo","Santa Cruz","CREEMOS","Plurinominal","Titular","","Comisión de Naciones y Pueblos Indígena Originario Campesino, Culturas e Interculturalidad","Comité de Naciones y Pueblos Indígena Originario Campesinos","","erwin-bazan-gutierrez","Vocal"
"https://diputados.gob.bo/diputados/estefania-morales-laura","Estefanía Morales Laura","https://diputados.gob.bo/wp-content/uploads/2022/01/74-Estefania-Morales-Laura-SANTA-CRUZ-2-e1724965295398.jpg","Estefanía Morales Laura","estefania.morales@diputados.bo","Santa Cruz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Justicia Plural, Ministerio Público y Defensa Legal del Estado","Comité de Jurisdicción Ordinaria y Consejo de la Magistratura","","estefania-morales-laura","Secretaria"
"https://diputados.gob.bo/diputados/felicia-alejo-hidalgo","Felicia Alejo Hidalgo","https://diputados.gob.bo/wp-content/uploads/2022/01/40-Felicia-Alejo-Hidalgo-COCHABAMBA-2-e1724963301679.jpg","Felicia Alejo Hidalgo","felicia.alejo@diputados.bo","Cochabamba","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Política Social","Comité de Hábitat, Vivienda y Servicios Básicos","","felicia-alejo-hidalgo","Secretaria"
"https://diputados.gob.bo/diputados/felix-mayta-laric","Felix Mayta Larico","https://diputados.gob.bo/wp-content/uploads/2022/01/28-Felix-Mayta-Larico-LA-PAZ-2-e1724959937251.jpg","Felix Mayta Larico","felix.mayta@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-13","Comisión de Organización Territorial del Estado y Autonomías","Comité de Autonomías Departamentales","","felix-mayta-laric","Secretario"
"https://diputados.gob.bo/diputados/fernando-llapiz-hoentsch","Fernando Llapiz Hoentsch","https://diputados.gob.bo/wp-content/uploads/2022/01/123-Fernando-Llapiz-Hoentsch-BENI-2-e1724968284774.jpg","Fernando Llapiz Hoentsch","fernando.llapiz@diputados.bo","Beni","CREEMOS","Uninominal","Titular","C-58","Comisión de Región Amazónica, Tierra, Territorio, Agua, Recursos Naturales y Medio Ambiente","Comité de Medio Ambiente, Cambio Climático, Areas Protegidas y Recursos Naturales","","fernando-llapiz-hoentsch","Secretario"
"https://diputados.gob.bo/diputados/freddy-lopez-choque","Freddy López Choque","https://diputados.gob.bo/wp-content/uploads/2022/01/24-Freddy-Lopez-Choque-LA-PAZ-2-e1724959532514.jpg","Freddy López Choque","freddy.lopez@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Economía Plural, Producción e Industria","Comité de Agricultura y Ganadería","","freddy-lopez-choque","Secretario"
"https://diputados.gob.bo/diputados/freddy-mamani-laura","Freddy Mamani Laura","https://diputados.gob.bo/wp-content/uploads/2022/01/27-Freddy-Mamani-Laura-LA-PAZ-1-e1724959862299.jpg","Freddy Mamani Laura","freddy.mamani@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Educación y Salud","Comité de Salud, Deportes y Recreación","","freddy-mamani-laura","Vocal"
"https://diputados.gob.bo/diputados/freddy-velasquez-aparicio","Freddy Velásquez Aparicio","https://diputados.gob.bo/wp-content/uploads/2022/01/35-Freddy-Velasquez-Aparicio-LA-PAZ-2-e1724961934529.jpg","Freddy Velásquez Aparicio","freddy.velasquez@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Constitución, Legislación y Sistema Electoral","Comité de Democracia y Sistema Electoral","","freddy-velasquez-aparicio","Vocal"
"https://diputados.gob.bo/diputados/froilan-mamani-choque","Froilán Mamani Choque","https://diputados.gob.bo/wp-content/uploads/2022/01/26-Froilan-Mamani-Choque-Froilan-LA-PAZ-e1724959761623.jpg","Froilán Mamani Choque","froilan.mamani@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Justicia Plural, Ministerio Público y Defensa Legal del Estado","","","froilan-mamani-choque","Presidente"
"https://diputados.gob.bo/diputados/gabriela-veronica-ferrel-parrado","Gabriela Verónica Ferrel Parrado","https://diputados.gob.bo/wp-content/uploads/2022/01/22-Gabriela-Veronica-Ferrel-Parrado-LA-PAZ-2-e1724959395935.jpg","Gabriela Verónica Ferrel Parrado","gabriela.ferrel@diputados.bo","La Paz","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Derechos Humanos","Comité de Derechos de Género","","gabriela-veronica-ferrel-parrado","Secretaria"
"https://diputados.gob.bo/diputados/gildo-leodan-hinojosa-soria","Gildo Leodán Hinojosa Soria","https://diputados.gob.bo/wp-content/uploads/2022/01/50-Gildo-Leodan-Hinojosa-Soria-COCHABAMBA-2-e1724964045225.jpg","Gildo Leodán Hinojosa Soria","gildo.hinojosa@diputados.bo","Cochabamba","MAS IPSP (Movimiento Al Socialismo)","Especial","Titular","","","Comité de Gobierno y Policía Boliviana","","gildo-leodan-hinojosa-soria","Secretario"
"https://diputados.gob.bo/diputados/gladys-chumacero-vasquez","Gladys Chumacero Vásquez","https://diputados.gob.bo/wp-content/uploads/2022/01/90-Gladys-Chumacero-Vasquez-POTOSI-2-e1724966251881.jpg","Gladys Chumacero Vásquez","gladys.chumacero@diputados.bo","Potosí","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-38","","Comité de Derechos de Género","","gladys-chumacero-vasquez","Vocal"
"https://diputados.gob.bo/diputados/gladys-quispe-chura","Gladys Quispe Chura","https://diputados.gob.bo/wp-content/uploads/2022/01/31-Gladys-Quispe-Chura-LA-PAZ-1-e1724960208104.jpg","Gladys Quispe Chura","gladys.quispe@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-17","","Comité de Gobierno y Policía Boliviana","","gladys-quispe-chura","Vocal"
"https://diputados.gob.bo/diputados/gloria-magdalena-callizaya-rodriguez","Gloria Magdalena Callizaya Rodríguez","https://diputados.gob.bo/wp-content/uploads/2022/01/17-Gloria-Magdalena-Callizaya-Rodriguez-LAPAZ-e1724956993952.jpg","Gloria Magdalena Callizaya Rodríguez","gloria.callizaya@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Gobierno, Defensa y Fuerzas Armadas","","","gloria-magdalena-callizaya-rodriguez","Presidenta"
"https://diputados.gob.bo/diputados/griselda-soledad-perez-alberto","Griselda Soledad Pérez Alberto","https://diputados.gob.bo/wp-content/uploads/2022/01/30-Griselda-Soledad-Perez-Alberto-LA-PAZ-2-e1724960067126.jpg","Griselda Soledad Pérez Alberto","griselda.perez@diputados.bo","La Paz","MAS IPSP (Movimiento Al Socialismo)","Plurinominal","Titular","","Comisión de Gobierno, Defensa y Fuerzas Armadas","Comité de Lucha Contra el Narcotráfico","","griselda-soledad-perez-alberto","Vocal"
"https://diputados.gob.bo/diputados/gualberto-arispe-maita","Gualberto Arispe Maita","https://diputados.gob.bo/wp-content/uploads/2022/01/42-Gualberto-Arispe-Maita-COCHABAMBA-2-e1724963475693.jpg","Gualberto Arispe Maita","gualberto.arispe@diputados.bo","Cochabamba","MAS IPSP (Movimiento Al Socialismo)","Uninominal","Titular","C-24","Comisión de Educación y Salud","Comité de Educación","","gualberto-arispe-maita","Vocal"
"https://diputados.gob.bo/diputados/gustavo-adolfo-aliaga-palma","Gustavo Adolfo Aliaga Palma","https://diputados.gob.bo/wp-content/uploads/2022/01/14-Gustavo-Adolfo-Aliaga-Palma-LA-PAZ-1-e1724956807945.jpg","Gustavo Adolfo Aliaga Palma","gustavo.aliaga@diputados.bo","La Paz","CC (Comunidad Ciudadana)","Plurinominal","Titular","","Comisión de Planificación, Política Económica y Finanzas","Comité de Ciencia y Tecnología","","gustavo-adolfo-aliaga-palma","Vocal"
